TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,"VARIATION 1 TYPE","VARIATION 1 NAME","VARIATION 1 VALUES","VARIATION 2 TYPE","VARIATION 2 NAME","VARIATION 2 VALUES",SKU
"Mini Insect guy","A mini  toy for your toys 😬
(Not articulated)",13,GBP,6,"custom,tiny_toy,miniature,RDJ_custom_creations",,https://i.etsystatic.com/22049125/r/il/4db5d5/2463684488/il_fullxfull.2463684488_e84g.jpg,https://i.etsystatic.com/22049125/r/il/7e1789/2511350881/il_fullxfull.2511350881_sc1k.jpg,https://i.etsystatic.com/22049125/r/il/57779c/2511350789/il_fullxfull.2511350789_rpqt.jpg,https://i.etsystatic.com/22049125/r/il/316f8c/2463684590/il_fullxfull.2463684590_fd71.jpg,,,,,,,,,,,,,
"Single Dr weird dragon spell hand effect (painted) *available in pink, orange, red, blue or purple*","3D printed and painted single dragon spell effect, please choose desired colour)",15,GBP,5,"action_figure,accessories,toy_accessories,display_piece,toy_prop,toy_props,3D_printed,6_inch_scale,custom,RDJ_custom_creations",,https://i.etsystatic.com/22049125/r/il/9c32a7/3972222316/il_fullxfull.3972222316_kve1.jpg,,,,,,,,,,,,,,,,
"Screaming Feral man movie head sculpt (painted) FIGURE NOT INCLUDED","1x 3D printed and painted screaming feral man movie head sculpt  (FIGURE NOT INCLUDED)",25,GBP,7,"head_sculpt,toy_props,toy_accessories,accessories,3D_printed,6_inch_scale,RDJ_custom_creations,custom_head_sculpt",,https://i.etsystatic.com/22049125/r/il/a47531/6598022537/il_fullxfull.6598022537_qojx.jpg,https://i.etsystatic.com/22049125/r/il/ce1171/6598022609/il_fullxfull.6598022609_c1s2.jpg,https://i.etsystatic.com/22049125/r/il/654c36/6598022761/il_fullxfull.6598022761_pvx8.jpg,https://i.etsystatic.com/22049125/r/il/79bea8/6598022805/il_fullxfull.6598022805_kcj7.jpg,https://i.etsystatic.com/22049125/r/il/f0fcae/6598022923/il_fullxfull.6598022923_cqqy.jpg,,,,,,,,,,,,
"Animated Pedro pecker, green menace, yellow menace & glider + video game Pedro Pecker head sculpt","4x 3D printed heads and glider",125,GBP,3,"custom,6_inch_scale,3D_printed,toy_accessories,head_sculpt,action_figure,accessories,RDJ_custom_creations",,https://i.etsystatic.com/22049125/r/il/4e3d5a/4915635521/il_fullxfull.4915635521_7coa.jpg,,,,,,,,,,,,,,,,
"Super warrior juice x5","1:12 miniature toy accessory for action figures",12.5,GBP,5,"custom_made,RDJ_custom_creations,accessories,miniature,1_12_scale,replica,action_figure,3D_printed,props,toy_props,toy_accessories",,https://i.etsystatic.com/22049125/r/il/d6c1d5/3004574598/il_fullxfull.3004574598_do26.jpg,https://i.etsystatic.com/22049125/r/il/5791aa/3052312445/il_fullxfull.3052312445_o6cc.jpg,,,,,,,,,,,,,,,
"NYC Digital wireframe hologram","3D printed Prop/accessory (FIGURES NOT INCLUDED)",7.5,GBP,5,"props_and_accessorie,hologram,toy_accessories,3D_printed,RDJ_custom_creations,miniature,6_inch_scale",,https://i.etsystatic.com/22049125/r/il/c74c4b/2532721993/il_fullxfull.2532721993_43h1.jpg,https://i.etsystatic.com/22049125/r/il/c3f3c3/2532722051/il_fullxfull.2532722051_2qer.jpg,https://i.etsystatic.com/22049125/r/il/bc9ad6/2485050738/il_fullxfull.2485050738_p4lw.jpg,https://i.etsystatic.com/22049125/r/il/22477e/3219639758/il_fullxfull.3219639758_cbb8.jpg,,,,,,,,,,,,,
"1x 3D printed and painted neck cover for green menace (FIGURE NOT INCLUDED)","1x 3D printed and painted neck cover for green menace (FIGURE NOT INCLUDED)
sculpted by @CASST_ONE on cults",5,GBP,41,"6_inch_scale,props,accessories,RDJ_custom_creations,toy_accessories",,https://i.etsystatic.com/22049125/r/il/01107f/5696873533/il_fullxfull.5696873533_mk4u.jpg,https://i.etsystatic.com/22049125/r/il/9f1bf1/5696873631/il_fullxfull.5696873631_nvas.jpg,https://i.etsystatic.com/22049125/r/il/56a466/5696873747/il_fullxfull.5696873747_ofdt.jpg,,,,,,,,,,,,,,
"1x unpainted Goblin bomb 1:12 scale","1x unpainted 3D printed goblin bomb primed and ready to paint",1.5,GBP,17,"props,6_inch_scale,accessories,toy_accessory,3D_printed,action_figure,toy_accessories,RDJ_custom_creations",,https://i.etsystatic.com/22049125/r/il/c69989/3505155786/il_fullxfull.3505155786_dbpd.jpg,,,,,,,,,,,,,,,,
"Screaming feral man movie head sculpt (unpainted) ***FIGURE NOT INCLUDED***","screaming feral man movie head sculpt (unpainted) ***FIGURE NOT INCLUDED***",12,GBP,3,"alternate_head,1_12_scale,custom_head_sculpt,head_sculpt,toy_accessory,action_figure,RDJ_custom_creations,6_inch_scale,custom,toy_accessories,3D_printed,toy_props,accessories",,https://i.etsystatic.com/22049125/r/il/1741fd/6594014699/il_fullxfull.6594014699_ae2v.jpg,https://i.etsystatic.com/22049125/r/il/1ccbed/6545895130/il_fullxfull.6545895130_jwfs.jpg,https://i.etsystatic.com/22049125/r/il/047c33/6594015175/il_fullxfull.6594015175_744d.jpg,https://i.etsystatic.com/22049125/r/il/b66a51/6545895498/il_fullxfull.6545895498_op3e.jpg,,,,,,,,,,,,,
"Moustache mercenary (unpainted)","3D printed unpainted Insect-Punk head (FIGURE NOT INCLUDED)",12,GBP,8,"action_figure,3D_printed,RDJ_custom_creations,toy_accessory,6_inch_scale,custom,head_sculpt,custom_head_sculpt",,https://i.etsystatic.com/22049125/r/il/4537d1/6288392081/il_fullxfull.6288392081_k3aj.jpg,https://i.etsystatic.com/22049125/r/il/4e7f11/6288392435/il_fullxfull.6288392435_qrng.jpg,https://i.etsystatic.com/22049125/r/il/502da6/6288392885/il_fullxfull.6288392885_gc7k.jpg,,,,,,,,,,,,,,
